"uniqueid","parentid","lctype","title","description","startdate","enddate"
"0000","","C","0000 - Templates","","",""
"1L.default","0000","C","Level 1 Template","","",""
"200410","","C","2004 - 2005, Semester 1","","",""
"200415","","C","2004 - 2005, Year","","",""
"200420","","C","2004 - 2005, Semester 2","","",""
"200430","","C","2004 - 2005, Summer","","",""
"200510","","C","2005 - 2006, Semester 1","","",""
"200515","","C","2005 - 2006, Year","","",""
"200520","","C","2005 - 2006, Semester 2","","",""
"200530","","C","2005 - 2006, Summer","","",""
"200610","","C","2006 - 2007, Semester 1","","",""
"200615","","C","2006 - 2007, Year","","",""
"200620","","C","2006 - 2007, Semester 2","","",""
"200630","","C","2006 - 2007, Summer","","",""
"200702","TOUR3007","S","(2007 - 2008, Semester 2)","","",""
"200710","","C","2007 - 2008, Semester 1","","",""
"200715","","C","2007 - 2008, Year","","",""
"200720","","C","2007 - 2008, Semester 2","","",""
"200730","","C","2007 - 2008, Summer","","",""
"200810","","C","2008 - 2009, Semester 1 : Undergraduate","","",""
"200815","","C","2008 - 2009, Semester 1 : Post Graduate","","",""
"200820","","C","2008 - 2009, Semester 2 : Undergraduate","","",""
"200825","","C","2008 - 2009, Semester 2 : Post Graduate","","",""
"200830","","C","2008 - 2009, Summer : Undergraduate","","",""
"200845","","C","2008 - 2009, Year : Post Graduate","","",""
"28592102002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 01","","",""
"28592103002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 02","","",""
"28592104002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 03","","",""
"28592105002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 04","","",""
"28592106002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 05","","",""
"28592107002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 06","","",""
"28592108002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 07","","",""
"28592109002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 08","","",""
"28592110002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 09","","",""
"28592111002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 10","","",""
"28592112002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 11","","",""
"28592113002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 12","","",""
"28592114002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 13","","",""
"28592115002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 14","","",""
"28592116002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 15","","",""
"28592117002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 16","","",""
"28592118002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 17","","",""
"28592119002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 18","","",""
"28592120002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 19","","",""
